q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_extrapolated,interpolated
2.88000000000000000e+02,3.60000000000000000e+01,4.24264068711928477e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.44000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.16402516428602496e+01,-1.16402516428602496e+01,0.00000000000000000e+00
2.86000000000000000e+02,1.44000000000000000e+02,4.22788363132194078e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.16179313015538774e+01,-1.16179313015538774e+01,0.00000000000000000e+00
2.85000000000000000e+02,1.92000000000000000e+02,4.22048575403353343e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.68000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.16067350817923032e+01,-1.16067350817923032e+01,0.00000000000000000e+00
2.83000000000000000e+02,7.20000000000000000e+01,4.20565096031518060e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.88000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.15842698461510683e+01,-1.15842698461510683e+01,0.00000000000000000e+00
2.82000000000000000e+02,9.60000000000000000e+01,4.19821390593666610e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.15730005471666519e+01,-1.15730005471666519e+01,0.00000000000000000e+00
2.81000000000000000e+02,2.40000000000000000e+02,4.19076365356005276e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.15617066031052982e+01,-1.15617066031052982e+01,0.00000000000000000e+00
2.80000000000000000e+02,4.80000000000000000e+01,4.18330013267037781e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.15503878690414528e+01,-1.15503878690414528e+01,0.00000000000000000e+00
2.78000000000000000e+02,1.68000000000000000e+02,4.16833300013326635e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,6.72000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.15276754442799181e+01,-1.15276754442799181e+01,0.00000000000000000e+00
2.77000000000000000e+02,7.20000000000000000e+01,4.16082924427330969e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.88000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.15162814567519600e+01,-1.15162814567519600e+01,0.00000000000000000e+00
2.76000000000000000e+02,9.60000000000000000e+01,4.15331193145903743e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.15048620855235946e+01,-1.15048620855235946e+01,0.00000000000000000e+00
2.75000000000000000e+02,1.20000000000000000e+02,4.14578098794425021e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.14934171785780013e+01,-1.14934171785780013e+01,0.00000000000000000e+00
2.74000000000000000e+02,1.44000000000000000e+02,4.13823633931171209e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.14819465824229656e+01,-1.14819465824229656e+01,0.00000000000000000e+00
2.73000000000000000e+02,9.60000000000000000e+01,4.13067791046457611e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.14704501420709981e+01,-1.14704501420709981e+01,0.00000000000000000e+00
2.72000000000000000e+02,4.80000000000000000e+01,4.12310562561766059e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.14589277010192756e+01,-1.14589277010192756e+01,0.00000000000000000e+00
2.70000000000000000e+02,1.92000000000000000e+02,4.10791918128874567e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.68000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.14358041831049047e+01,-1.14358041831049047e+01,0.00000000000000000e+00
2.69000000000000000e+02,2.64000000000000000e+02,4.10030486671418171e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.05600000000000000e+03,0.00000000000000000e+00,0.00000000000000000e+00,-1.14242027854733905e+01,-1.14242027854733905e+01,0.00000000000000000e+00
